,video_id,title,views,likes,comments,play_list_name
112,Oai1V7kaFBk,Sisqo - Thong Song (Official Music Video),160948970,888746,44946,Top 100 Songs of 2000 - Billboard Year End Charts
113,xPU8OAjjS4k,3 Doors Down - Kryptonite (Official Video),435646576,1782738,38610,Top 100 Songs of 2000 - Billboard Year End Charts
114,66LnhtnSoKc,P!NK - There You Go (Official Video),32548453,188574,9447,Top 100 Songs of 2000 - Billboard Year End Charts
115,EDwb9jOVRtU,Madonna - Hung Up (Official Video) [HD],454873391,2373502,96499,Top 100 Songs of 2000 - Billboard Year End Charts
116,7iJZosBX2L0,Janet Jackson - Doesn't Really Matter (Official Video),3676847,35875,2082,Top 100 Songs of 2000 - Billboard Year End Charts
117,hpspGHeLOPE,Christina Aguilera - What A Girl Wants (Official Video),42544384,195622,10812,Top 100 Songs of 2000 - Billboard Year End Charts
118,rXPfovXw2tw,Brian McKnight - Back At One (Short Version) (Official Music Video),180210089,1213853,29099,Top 100 Songs of 2000 - Billboard Year End Charts
119,Eo-KmOd3i7s,*NSYNC - Bye Bye Bye (Official Video),345706174,1557894,73475,Top 100 Songs of 2000 - Billboard Year End Charts
120,MY4YJxn-9Og,Marc Anthony - You Sang To Me (Video),196757677,641120,24084,Top 100 Songs of 2000 - Billboard Year End Charts
121,fLVzw9wVd9o,Marc Anthony - I Need to Know (Video),56196885,196936,6317,Top 100 Songs of 2000 - Billboard Year End Charts
122,k_C_nhzdNFI,Montell Jordan - Get It On Tonite,30026743,196534,5261,Top 100 Songs of 2000 - Billboard Year End Charts
123,Z6qqS9mbdY4,Sisqo - Incomplete,34575765,212564,7822,Top 100 Songs of 2000 - Billboard Year End Charts
124,WEQ0l_m3Xm0,Macy Gray - I Try (Official Video),74372417,531165,16430,Top 100 Songs of 2000 - Billboard Year End Charts
125,GQMlWwIXg3M,*NSYNC - It's Gonna Be Me (Official Video),195872014,879007,47802,Top 100 Songs of 2000 - Billboard Year End Charts
126,T6wbugWrfLU,Céline Dion - That's The Way It Is (Official Video),298608239,993530,33878,Top 100 Songs of 2000 - Billboard Year End Charts
127,Y5qKNlcUwKs,Nelly - Country Grammar (Hot...) (Official Music Video),101127181,507496,15255,Top 100 Songs of 2000 - Billboard Year End Charts
128,h4mjAOgHLvU,Blaque - Bring It All to Me ft. *NSYNC,13838710,172544,5768,Top 100 Songs of 2000 - Billboard Year End Charts
129,aBt8fN7mJNg,Backstreet Boys - Show Me The Meaning Of Being Lonely,286619124,1537892,58143,Top 100 Songs of 2000 - Billboard Year End Charts
130,FRkev5Aooms,Missy Elliott - Hot Boyz [Official Music Video],30307299,222887,8807,Top 100 Songs of 2000 - Billboard Year End Charts
131,l95MMbls0GQ,"BB MAK, BACK HERE",4447811,18110,1964,Top 100 Songs of 2000 - Billboard Year End Charts
132,1AIu7SqX_UI,Sonique - It Feels So Good,11387020,66732,2613,Top 100 Songs of 2000 - Billboard Year End Charts
133,ZIANBamMgas,Nine Days - Absolutely (Story of a Girl),21160631,161867,5836,Top 100 Songs of 2000 - Billboard Year End Charts
134,99j0zLuNhi8,Creed - With Arms Wide Open,177133850,1159036,36051,Top 100 Songs of 2000 - Billboard Year End Charts
135,YT9wVDxnyV0,Enrique Iglesias - Be With You [OFFICIAL VIDEO],2382572,9673,407,Top 100 Songs of 2000 - Billboard Year End Charts
